"","Category","Brands","Price","Rating","Review"
"30","Headphones","JLab Go Air Pop True Wireless Bluetooth Earbuds + Charging Case, Black, Dual Connect, IPX4 Sweat Resistance, Bluetooth 5.1 Connection, 3 EQ Sound Settings Signature, Balanced, Bass Boost","24.","4.4 out of 5 stars","44,433  "
"31","Headphones","Wireless Earbud, Bluetooth 5.3 Headphones in Ear with Noise Cancelling Mic, Earbud Stereo Bass, IP-X7 Waterproof Sports Earphones, 32H Playtime USB C Charging Buds Pink for Android iOS","21.","4.3 out of 5 stars","22,535  "
"32","Headphones","Open-Ear Headphones, Ultra Comfort Open Ear Earbuds, Open Ear Headphones Wireless Bluetooth for Snug Fit, Ergonomic Ear Hook, Balanced Sound, IPX7 Waterproof, 40H Playtime, Bluetooth 5.3, Clear Calls","199.","4.4 out of 5 stars","4,789  "
"33","Headphones","Wireless Earbuds, Bluetooth5.0 Earbuds Touch Control Stereo Sound Bluetooth Headphones with Mic, 35H Playtime IPX7 Waterproof Wireless Ear Buds with Type C Charging Case for airpods iPhone Android","21.","4.4 out of 5 stars","1,924  "
"34","Camera","Drift Innovation Ghost XL Action Camera – 1080 Full HD Video Camera with Rotating Lens and Dash Cam Mode – IPX7 Waterproof Camera – 9 Hour Battery Life – 12MP Still Photos","149.","4.0 out of 5 stars","1,080  "
"35","Camera","4K Digital Camera for Photography, 48 MP Vlogging Camera for YouTube Dual Camera Autofocus 18X Digital Zoom Photo Camera with 64GB TF Card, Point and Shoot Digital Cameras for Teens Beginners（Black）","119.","4.8 out of 5 stars","30  "
"36","Camera","USHINING Kids Camera Waterproof Digital Camera for Kids 12MP Rotatable Lens Selfie Kids Video Camera Underwater Kids Action Camera 3-12 Years Boys Girls Birthday with 32GB SD Card Blue","19.","4.2 out of 5 stars","118  "
"37","Camera","SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 512GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME512KA/AM)","24.","4.7 out of 5 stars","78,623  "
"38","Camera","Fujifilm Instax Mini Instant Film Twin Pack (White), 20 photos","13.","4.8 out of 5 stars","106,015  "
"39","Camera","WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, 2-Way Audio, Works with Alexa & Google Assistant","35.","4.3 out of 5 stars","12,730  "
"40","Camera","SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN","21.","4.8 out of 5 stars","38,665  "
"41","Camera","SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAA-128G-GN6MA","15.","4.8 out of 5 stars","80,615  "
